#Pegasor Piaq60 Data Export						
#serial#	119					
time	sootA	sootM	sootN	Temp	Hum	CO2
2016-01-04T12:17:15.000	8.30831	10.7038	0.0635864	23.09	7.23	452.55
2016-01-04T12:17:16.000	8.30078	10.6901	0.0635416	23.09	7.22	451.84
2016-01-04T12:17:17.000	8.32556	10.7173	0.0637465	23.09	7.22	451.84
2016-01-04T12:17:18.000	8.34786	10.7407	0.0639341	23.09	7.21	451.94
2016-01-04T12:17:19.000	8.36794	10.7608	0.0641062	23.09	7.2	451.94
#end of file						
