Time,Hum,Temp,sootM,sootN,CO2,sootA,CMD,
4-1-2016T11-24-24,9.014,20.252,6.90595,0.0992387,582.106,9.46232,403.339,
4-1-2016T11-24-29,9.0,20.264,7.75249,0.100594,581.666,9.95099,414.093,
4-1-2016T11-24-34,8.98,20.27,8.23182,0.09833,579.474,10.0218,424.021,
4-1-2016T11-24-39,8.97,20.28,8.08597,0.0900717,577.476,9.41214,433.833,
4-1-2016T11-24-44,8.97,20.288,8.21115,0.085011,563.932,9.11728,443.643,
4-1-2016T11-24-49,8.978,20.294,8.83293,0.084786,562.694,9.34082,453.192,
4-1-2016T11-24-54,8.988,20.3,9.48495,0.0848875,559.682,9.58747,462.647,
4-1-2016T11-24-59,8.994,20.308,10.0847,0.0845812,558.962,9.77532,471.739,
4-1-2016T11-25-04,8.996,20.31,10.5123,0.0831714,559.726,9.81326,479.522,
4-1-2016T11-25-09,8.978,20.32,11.0078,0.0826367,559.634,9.9338,485.789,
4-1-2016T11-25-14,8.97,20.33,11.3617,0.0817202,561.41,9.97491,490.109,
4-1-2016T11-25-19,8.96,20.34,11.6938,0.0813474,561.526,10.0491,492.825,
4-1-2016T11-25-24,8.98,20.344,11.8413,0.0804069,558.898,10.0198,494.503,
4-1-2016T11-25-29,8.998,20.35,11.7119,0.0781772,558.328,9.80236,495.81,
4-1-2016T11-25-34,9.036,20.358,11.8642,0.0780281,558.0,9.83591,497.603,
4-1-2016T11-25-39,9.12,20.366,12.7131,0.082452,557.184,10.4455,499.126,
4-1-2016T11-25-44,9.122,20.376,13.2644,0.0852207,556.004,10.8326,499.431,
4-1-2016T11-25-49,9.086,20.386,12.8774,0.0823826,544.914,10.4879,498.958,
4-1-2016T11-25-54,9.028,20.39,12.5442,0.08017,544.11,10.2102,498.18,
4-1-2016T11-25-59,8.992,20.4,12.0638,0.0771874,540.858,9.82656,497.567,
4-1-2016T11-26-04,8.99,20.404,12.0901,0.0774204,542.062,9.85346,497.837,
4-1-2016T11-26-09,9.018,20.418,12.4792,0.0798553,541.566,10.166,498.334,
4-1-2016T11-26-14,9.054,20.428,12.671,0.0810038,544.022,10.3157,498.373,
4-1-2016T11-26-19,9.064,20.444,12.5642,0.0803084,546.17,10.2277,498.163,
4-1-2016T11-26-24,9.07,20.458,12.5077,0.0799893,540.89,10.1853,497.884,
4-1-2016T11-26-29,9.06,20.468,12.698,0.0812931,536.392,10.3474,497.604,
4-1-2016T11-26-34,9.05,20.476,12.5973,0.0807155,532.308,10.2709,497.649,
4-1-2016T11-26-39,9.024,20.482,11.9155,0.0763431,534.138,9.71469,497.886,
4-1-2016T11-26-44,8.964,20.494,11.5835,0.0742366,535.042,9.44572,497.505,
4-1-2016T11-26-49,8.924,20.504,11.6278,0.0746816,531.52,9.49516,496.51,
4-1-2016T11-26-54,8.884,20.514,11.8376,0.0763494,527.884,9.69291,495.341,
4-1-2016T11-26-59,8.848,20.526,12.1474,0.0787954,526.516,9.98348,494.015,
4-1-2016T11-27-04,8.832,20.534,12.2335,0.0798658,526.948,10.0963,492.758,
4-1-2016T11-27-09,8.826,20.544,11.4749,0.075317,526.682,9.50336,492.219,
4-1-2016T11-27-14,8.82,20.55,10.8296,0.0712799,517.35,8.98523,492.971,
4-1-2016T11-27-19,8.82,20.56,10.1989,0.066998,515.106,8.45123,495.076,
4-1-2016T11-27-24,8.816,20.566,10.2731,0.0669397,518.29,8.46783,497.82,
4-1-2016T11-27-29,8.78,20.576,10.9364,0.0704309,519.896,8.94598,500.27,
4-1-2016T11-27-34,8.752,20.584,11.6326,0.0739135,518.908,9.43252,502.982,
4-1-2016T11-27-39,8.75,20.592,12.641,0.0791456,510.096,10.1524,505.403,
4-1-2016T11-27-44,8.748,20.602,13.0623,0.0808571,510.784,10.4134,506.429,
4-1-2016T11-27-49,8.714,20.614,12.6702,0.077876,508.91,10.0544,506.728,
4-1-2016T11-27-54,8.702,20.62,12.2479,0.0748822,507.87,9.686,507.296,
4-1-2016T11-27-59,8.732,20.63,12.0994,0.0735735,510.174,9.53489,508.315,
4-1-2016T11-28-04,8.74,20.632,11.9397,0.0721774,517.534,9.37322,509.467,
4-1-2016T11-28-09,8.74,20.642,12.0327,0.0722779,511.588,9.40725,510.492,
4-1-2016T11-28-14,8.73,20.656,11.7722,0.0703587,511.436,9.17359,510.9,
4-1-2016T11-28-19,8.698,20.672,10.794,0.0642599,517.528,8.38995,511.845,
4-1-2016T11-28-24,8.686,20.682,10.5905,0.0625252,517.508,8.18722,514.709,
4-1-2016T11-28-29,8.68,20.7,11.9846,0.0697295,512.338,9.17722,517.847,
4-1-2016T11-28-34,8.68,20.71,12.6642,0.0727047,512.766,9.61359,520.226,
4-1-2016T11-28-39,8.674,20.718,11.7913,0.0669603,522.272,8.88779,522.313,
4-1-2016T11-28-44,8.644,20.724,11.5222,0.0647028,519.61,8.6219,523.522,
4-1-2016T11-28-49,8.628,20.738,11.8242,0.0658298,522.672,8.79864,523.759,
4-1-2016T11-28-54,8.598,20.75,11.2807,0.0625102,519.716,8.36879,523.959,
4-1-2016T11-28-59,8.576,20.76,10.6559,0.0587775,519.54,7.88176,525.027,
4-1-2016T11-29-04,8.564,20.766,11.2728,0.0618042,515.832,8.30529,525.912,
4-1-2016T11-29-09,8.558,20.77,12.6859,0.0692529,511.908,9.32034,525.838,
4-1-2016T11-29-14,8.55,20.78,13.4759,0.0735101,512.63,9.89595,525.104,
4-1-2016T11-29-19,8.562,20.79,14.6041,0.0798837,513.354,10.7436,523.53,
4-1-2016T11-29-24,8.588,20.796,14.5905,0.0803471,514.93,10.7805,520.595,
4-1-2016T11-29-29,8.598,20.808,13.0126,0.0723711,512.454,9.67656,517.416,
4-1-2016T11-29-34,8.6,20.818,12.1156,0.0682136,513.064,9.08146,515.594,
4-1-2016T11-29-39,8.586,20.822,11.7773,0.0670196,510.54,8.88924,514.88,
4-1-2016T11-29-44,8.58,20.832,11.747,0.0673327,511.236,8.9083,514.893,
4-1-2016T11-29-49,8.592,20.84,11.9589,0.0688118,509.62,9.09185,515.126,
4-1-2016T11-29-54,8.598,20.848,11.9599,0.0689625,503.812,9.10514,515.031,
4-1-2016T11-29-59,8.57,20.85,12.2258,0.0706301,494.94,9.31916,514.694,
4-1-2016T11-30-04,8.542,20.858,12.1859,0.0705735,497.118,9.30366,513.907,
4-1-2016T11-30-09,8.54,20.862,11.4643,0.0666082,504.698,8.77105,513.12,
4-1-2016T11-30-14,8.534,20.87,11.1397,0.0649367,502.682,8.54106,512.777,
4-1-2016T11-30-19,8.53,20.876,11.6432,0.0680743,503.43,8.94443,512.403,
4-1-2016T11-30-24,8.522,20.88,11.7809,0.0691059,502.882,9.06953,511.494,
4-1-2016T11-30-29,8.514,20.89,10.843,0.0638377,510.646,8.36739,510.647,
4-1-2016T11-30-34,8.51,20.9,10.5435,0.0623191,509.442,8.1571,510.217,
4-1-2016T11-30-39,8.51,20.9,11.0968,0.0658396,509.05,8.60643,509.694,
4-1-2016T11-30-44,8.526,20.91,11.4545,0.0682057,502.55,8.90455,509.076,
4-1-2016T11-30-49,8.575,20.915,11.5311,0.0688949,504.52,8.98388,508.553,
4-1-2016T11-30-54,8.592,20.92,11.7898,0.070653,503.91,9.20343,508.234,
4-1-2016T11-30-59,8.602,20.928,12.3742,0.0743617,501.73,9.67714,507.736,
4-1-2016T11-31-04,8.624,20.938,12.3447,0.0744219,500.668,9.67414,506.908,
4-1-2016T11-31-09,8.63,20.946,12.2469,0.0741187,504.788,9.62167,506.143,
4-1-2016T11-31-14,8.63,20.958,12.2805,0.0746215,507.816,9.6733,505.472,
4-1-2016T11-31-19,8.618,20.962,11.7383,0.0715847,508.664,9.26793,504.869,
4-1-2016T11-31-24,8.572,20.974,11.0991,0.0679192,508.704,8.78281,504.357,
4-1-2016T11-31-29,8.55,20.98,9.68741,0.05939,507.94,7.67493,504.821,
4-1-2016T11-31-34,8.522,20.986,9.24835,0.0566006,504.25,7.31887,506.479,
4-1-2016T11-31-39,8.496,21.0,10.0613,0.0612438,500.77,7.93427,507.872,
4-1-2016T11-31-44,8.48,21.008,10.8212,0.0655738,489.144,8.5086,508.033,
4-1-2016T11-31-49,8.48,21.018,11.5606,0.0700075,490.272,9.08605,506.891,
4-1-2016T11-31-54,8.488,21.028,11.6273,0.0707008,496.294,9.16283,504.634,
4-1-2016T11-31-59,8.532,21.034,10.9401,0.0670492,501.25,8.66554,502.163,
4-1-2016T11-32-04,8.59,21.04,10.8605,0.0672343,499.27,8.65883,500.687,
4-1-2016T11-32-09,8.6,21.056,11.3776,0.0711033,502.958,9.12689,499.506,
4-1-2016T11-32-14,8.6,21.064,11.6494,0.0734114,505.246,9.39574,498.235,
4-1-2016T11-32-19,8.584,21.07,11.6848,0.0742164,504.418,9.47262,496.913,
4-1-2016T11-32-24,8.548,21.074,11.4614,0.073374,505.78,9.3393,495.4,
4-1-2016T11-32-29,8.514,21.08,10.6136,0.0684544,500.94,8.6904,494.111,
4-1-2016T11-32-34,8.51,21.086,10.1348,0.0658839,506.316,8.34101,492.878,
4-1-2016T11-32-39,8.496,21.094,9.8335,0.0643966,504.368,8.1318,492.22,
4-1-2016T11-32-44,8.49,21.1,9.86416,0.0647678,501.338,8.17121,493.806,
4-1-2016T11-32-49,8.49,21.102,11.0477,0.0721868,501.506,9.12276,496.172,
4-1-2016T11-32-54,8.482,21.11,11.6138,0.0754496,502.446,9.55437,496.864,
4-1-2016T11-32-59,8.47,21.11,10.8255,0.070137,507.254,8.89012,496.707,
4-1-2016T11-33-04,8.482,21.116,10.6046,0.0685081,506.286,8.69244,497.47,
4-1-2016T11-33-09,8.49,21.124,11.3774,0.0731784,504.566,9.29932,498.271,
4-1-2016T11-33-14,8.486,21.13,11.7346,0.0752822,502.022,9.57527,497.966,
4-1-2016T11-33-19,8.448,21.14,11.4541,0.0735112,502.274,9.34879,497.112,
4-1-2016T11-33-24,8.424,21.14,11.3653,0.0731256,503.752,9.29152,496.133,
4-1-2016T11-33-29,8.42,21.148,11.284,0.0729228,499.408,9.25146,494.842,
4-1-2016T11-33-34,8.424,21.15,11.1235,0.0722663,497.72,9.15123,493.936,
4-1-2016T11-33-39,8.432,21.158,11.1636,0.0728674,497.952,9.21222,493.488,
4-1-2016T11-33-44,8.44,21.16,11.2303,0.0735991,494.318,9.2916,492.901,
4-1-2016T11-33-49,8.41,21.17,11.2688,0.0741631,495.598,9.34902,492.086,
4-1-2016T11-33-54,8.376,21.17,11.1254,0.0735506,495.896,9.25716,491.225,
4-1-2016T11-33-59,8.37,21.176,11.0,0.0730654,497.412,9.18093,490.461,
4-1-2016T11-34-04,8.37,21.18,10.9671,0.0731763,503.034,9.18034,489.851,
4-1-2016T11-34-09,8.394,21.188,10.6908,0.0715816,501.878,8.96935,489.625,
4-1-2016T11-34-14,8.41,21.19,10.4884,0.0704037,499.366,8.81398,489.437,
4-1-2016T11-34-19,8.41,21.198,10.2016,0.0686394,499.438,8.58608,488.95,
4-1-2016T11-34-24,8.398,21.2,10.0463,0.0678415,494.782,8.47543,487.838,
4-1-2016T11-34-29,8.39,21.208,10.0583,0.0683186,491.414,8.51766,486.314,
4-1-2016T11-34-34,8.378,21.21,10.2999,0.0704854,493.158,8.76476,484.906,
4-1-2016T11-34-39,8.362,21.21,11.2364,0.0775542,501.084,9.6149,483.513,
4-1-2016T11-34-44,8.338,21.218,11.5457,0.0802948,501.668,9.92831,482.333,
4-1-2016T11-34-49,8.338,21.226,11.2398,0.0786419,500.152,9.70335,481.782,
4-1-2016T11-34-54,8.34,21.234,10.9966,0.0772247,496.076,9.51626,482.097,
4-1-2016T11-34-59,8.334,21.242,10.8284,0.0760577,493.344,9.37189,483.197,
4-1-2016T11-35-04,8.338,21.254,10.5859,0.0740664,495.164,9.1389,485.192,
4-1-2016T11-35-09,8.348,21.262,10.1596,0.0704758,493.652,8.72194,488.195,
4-1-2016T11-35-14,8.34,21.274,10.0522,0.0687782,493.712,8.5527,491.571,
4-1-2016T11-35-19,8.312,21.282,10.3156,0.0693681,500.3,8.67826,495.009,
4-1-2016T11-35-24,8.28,21.296,10.5611,0.0696705,498.096,8.7745,498.719,
4-1-2016T11-35-29,8.258,21.304,11.1171,0.0718126,497.202,9.11088,502.169,
4-1-2016T11-35-34,8.228,21.314,11.3774,0.0721675,497.342,9.21447,504.515,
4-1-2016T11-35-39,8.198,21.324,11.2261,0.0701889,499.25,9.00729,506.065,
4-1-2016T11-35-44,8.18,21.336,11.2438,0.0694722,498.858,8.95254,507.1,
4-1-2016T11-35-49,8.182,21.348,11.3856,0.0697289,494.91,9.01372,507.602,
4-1-2016T11-35-54,8.204,21.356,11.5153,0.0701277,505.302,9.08333,507.618,
4-1-2016T11-35-59,8.23,21.36,11.6214,0.0705789,509.814,9.15078,507.287,
4-1-2016T11-36-04,8.256,21.37,11.4915,0.0697717,506.038,9.04704,506.596,
4-1-2016T11-36-09,8.26,21.378,11.5615,0.070346,503.062,9.11477,505.572,
4-1-2016T11-36-14,8.26,21.386,11.7562,0.0718029,497.686,9.29121,504.596,
4-1-2016T11-36-19,8.26,21.39,11.7718,0.0722078,495.276,9.32955,503.778,
4-1-2016T11-36-24,8.26,21.394,11.6294,0.0716084,493.876,9.23972,503.385,
4-1-2016T11-36-29,8.256,21.4,11.8649,0.0732749,494.854,9.44497,503.185,
4-1-2016T11-36-34,8.25,21.4,11.757,0.0727814,499.154,9.37359,502.808,
4-1-2016T11-36-39,8.25,21.408,10.7602,0.0667194,498.678,8.58796,502.845,
4-1-2016T11-36-44,8.25,21.41,10.2254,0.0634083,497.662,8.16155,503.501,
4-1-2016T11-36-49,8.234,21.42,10.1861,0.0630236,497.468,8.11836,504.59,
4-1-2016T11-36-54,8.22,21.42,10.527,0.0648599,496.456,8.36719,505.586,
4-1-2016T11-36-59,8.22,21.424,11.2772,0.0691991,496.364,8.93972,505.945,
4-1-2016T11-37-04,8.22,21.43,11.5647,0.0708215,500.824,9.15574,505.691,
4-1-2016T11-37-09,8.218,21.43,11.3258,0.06936,495.392,8.96673,505.15,
4-1-2016T11-37-14,8.21,21.432,11.1259,0.0682339,489.32,8.81672,504.529,
4-1-2016T11-37-19,8.214,21.44,11.1302,0.0684132,490.626,8.83297,504.056,
4-1-2016T11-37-24,8.228,21.44,11.2125,0.0690652,490.606,8.91054,503.802,
4-1-2016T11-37-29,8.236,21.442,11.359,0.0701011,488.182,9.03815,503.467,
4-1-2016T11-37-34,8.246,21.45,11.2208,0.0694374,490.626,8.94402,502.533,
4-1-2016T11-37-39,8.268,21.45,10.9808,0.0682407,494.934,8.77683,501.467,
4-1-2016T11-37-44,8.282,21.458,11.0162,0.0687851,494.71,8.83222,500.761,
4-1-2016T11-37-49,8.29,21.46,11.4032,0.0715263,491.406,9.16958,500.077,
4-1-2016T11-37-54,8.296,21.46,11.5414,0.0727358,491.206,9.30923,499.058,
4-1-2016T11-37-59,8.286,21.46,11.3981,0.0722298,492.348,9.22661,497.825,
4-1-2016T11-38-04,8.242,21.468,11.163,0.0712007,492.124,9.07448,496.397,
4-1-2016T11-38-09,8.18,21.47,11.2317,0.0722288,490.968,9.17906,494.644,
4-1-2016T11-38-14,8.16,21.474,10.9725,0.0712147,492.368,9.02101,492.555,
4-1-2016T11-38-19,8.16,21.48,10.3864,0.0680966,496.396,8.59543,490.654,
4-1-2016T11-38-24,8.172,21.484,10.3392,0.0684742,502.088,8.61263,489.725,
4-1-2016T11-38-29,8.188,21.49,11.197,0.0747696,504.944,9.37742,489.202,
4-1-2016T11-38-34,8.198,21.49,11.4375,0.0768124,504.804,9.61448,488.506,
4-1-2016T11-38-39,8.206,21.5,10.4722,0.0706078,500.252,8.82572,488.208,
4-1-2016T11-38-44,8.21,21.5,9.85169,0.0665425,498.888,8.31243,488.972,
4-1-2016T11-38-49,8.222,21.51,9.96226,0.0671666,497.524,8.39579,490.317,
4-1-2016T11-38-54,8.234,21.512,10.2651,0.0688732,487.652,8.62373,491.8,
4-1-2016T11-38-59,8.26,21.52,10.8237,0.072162,482.146,9.05559,492.881,
4-1-2016T11-39-04,8.284,21.52,10.9983,0.0730418,484.314,9.17848,492.526,
4-1-2016T11-39-09,8.3,21.528,10.7147,0.0711776,482.624,8.94342,491.353,
4-1-2016T11-39-14,8.294,21.53,10.6029,0.0706146,483.368,8.86478,490.57,
4-1-2016T11-39-19,8.2575,21.5375,10.6707,0.0712909,484.28,8.93981,490.029,
4-1-2016T11-39-24,8.226,21.54,10.7114,0.0717879,487.146,8.99223,489.358,
4-1-2016T11-39-29,8.202,21.55,10.7486,0.0723369,493.926,9.04783,488.371,
4-1-2016T11-39-34,8.2,21.554,10.6818,0.0722925,498.142,9.02448,486.878,
4-1-2016T11-39-39,8.2,21.562,10.293,0.0701429,495.648,8.73499,485.489,
4-1-2016T11-39-44,8.198,21.57,10.0846,0.0691251,490.232,8.59067,485.363,
4-1-2016T11-39-49,8.18,21.578,9.91079,0.0680667,489.408,8.4534,486.374,
4-1-2016T11-39-54,8.17,21.586,10.1331,0.0693917,490.368,8.62672,488.177,
4-1-2016T11-39-59,8.17,21.59,10.1981,0.0693922,487.752,8.64607,490.14,
4-1-2016T11-40-04,8.17,21.598,10.4958,0.0707708,488.032,8.84588,492.03,
4-1-2016T11-40-09,8.162,21.608,11.5758,0.0772537,486.318,9.69102,493.55,
4-1-2016T11-40-14,8.156,21.612,12.1124,0.0801612,490.078,10.0852,494.64,
4-1-2016T11-40-19,8.15,21.62,11.9396,0.0784995,490.898,9.89896,495.407,
4-1-2016T11-40-24,8.166,21.628,11.6828,0.076466,486.378,9.6578,495.32,
4-1-2016T11-40-29,8.178,21.634,11.5914,0.0757366,480.726,9.57155,494.828,
4-1-2016T11-40-34,8.158,21.64,11.5978,0.0757498,481.28,9.57452,494.704,
4-1-2016T11-40-39,8.132,21.64,11.5211,0.0752115,478.3,9.50816,494.945,
4-1-2016T11-40-44,8.13,21.642,11.6031,0.075629,476.77,9.56615,495.574,
4-1-2016T11-40-49,8.134,21.65,11.6979,0.0760319,478.338,9.62662,496.403,
4-1-2016T11-40-54,8.186,21.654,11.6924,0.0757204,482.784,9.59938,497.185,
4-1-2016T11-40-59,8.2,21.66,11.6829,0.0753438,480.692,9.56557,498.089,
4-1-2016T11-41-04,8.198,21.66,12.0196,0.0770076,488.264,9.79928,500.021,
4-1-2016T11-41-09,8.18,21.664,12.8265,0.081365,493.444,10.3897,502.328,
4-1-2016T11-41-14,8.156,21.67,12.9959,0.081636,498.038,10.46,504.041,
4-1-2016T11-41-19,8.124,21.67,12.3518,0.0769143,492.842,9.88522,505.534,
4-1-2016T11-41-24,8.11,21.674,12.4285,0.0766552,489.772,9.88492,506.885,
4-1-2016T11-41-29,8.092,21.68,13.674,0.0835899,490.808,10.8129,507.622,
4-1-2016T11-41-34,8.072,21.68,14.1635,0.0861215,492.638,11.1613,507.818,
4-1-2016T11-41-39,8.07,21.686,13.3483,0.0809122,492.294,10.4976,508.071,
4-1-2016T11-41-44,8.076,21.69,13.0401,0.0788987,489.37,10.243,507.661,
4-1-2016T11-41-49,8.088,21.69,13.1443,0.0796126,492.022,10.332,506.589,
4-1-2016T11-41-54,8.084,21.698,12.959,0.0786976,494.696,10.2038,505.91,
4-1-2016T11-41-59,8.08,21.7,12.8282,0.0780675,494.664,10.1147,506.004,
4-1-2016T11-42-04,8.08,21.7,12.7398,0.0774835,493.81,10.0411,507.178,
4-1-2016T11-42-09,8.08,21.7,12.7244,0.0770684,493.434,10.0019,508.777,
4-1-2016T11-42-14,8.08,21.71,12.767,0.0769461,497.918,10.0032,509.403,
4-1-2016T11-42-19,8.072,21.71,12.8943,0.0775115,498.234,10.0859,508.81,
4-1-2016T11-42-24,8.054,21.71,12.7662,0.0768695,496.078,9.99654,507.073,
4-1-2016T11-42-29,8.04,21.71,12.0372,0.0728967,491.03,9.46082,504.775,
4-1-2016T11-42-34,8.022,21.718,11.5111,0.0703698,489.66,9.10274,502.188,
4-1-2016T11-42-39,8.01,21.72,11.2361,0.0695577,490.884,8.958,499.377,
4-1-2016T11-42-44,8.0,21.722,11.256,0.0707088,490.462,9.05952,496.781,
4-1-2016T11-42-49,8.008,21.73,11.1902,0.0712973,487.814,9.0897,494.613,
4-1-2016T11-42-54,8.0,21.73,11.2528,0.0726413,491.346,9.21873,493.053,
4-1-2016T11-42-59,8.0,21.734,12.3317,0.0806136,490.842,10.1856,491.563,
4-1-2016T11-43-04,8.014,21.74,12.7785,0.0844296,490.462,10.6281,489.728,
4-1-2016T11-43-09,8.05,21.74,12.286,0.0819909,489.194,10.2851,487.816,
4-1-2016T11-43-14,8.112,21.744,12.036,0.0812527,487.232,10.1515,485.643,
4-1-2016T11-43-19,8.128,21.75,12.2364,0.0837144,479.728,10.4103,483.261,
4-1-2016T11-43-24,8.094,21.75,12.3288,0.0854548,480.234,10.5783,481.354,
4-1-2016T11-43-29,8.062,21.75,11.9928,0.0840214,480.278,10.3619,480.264,
4-1-2016T11-43-34,8.058,21.756,11.899,0.0839433,482.418,10.3274,480.752,
4-1-2016T11-43-39,8.046,21.76,12.022,0.0848921,485.282,10.4408,482.323,
4-1-2016T11-43-44,8.022,21.76,12.1095,0.0851535,484.076,10.4884,484.264,
4-1-2016T11-43-49,8.02,21.764,12.6296,0.0881149,482.256,10.883,486.193,
4-1-2016T11-43-54,8.02,21.77,12.983,0.0897863,478.478,11.1236,487.815,
4-1-2016T11-43-59,8.012,21.77,12.6166,0.0865094,478.694,10.7497,489.507,
4-1-2016T11-44-04,7.988,21.774,12.0972,0.082171,487.444,10.2443,491.439,
4-1-2016T11-44-09,7.962,21.78,11.7444,0.0789143,486.928,9.87559,493.458,
4-1-2016T11-44-14,7.954,21.78,11.6244,0.0772522,485.686,9.70491,494.995,
4-1-2016T11-44-19,7.932,21.79,11.742,0.0772747,485.082,9.74104,496.012,
4-1-2016T11-44-24,7.89,21.79,11.8641,0.0774439,487.802,9.79033,496.989,
4-1-2016T11-44-29,7.862,21.8,12.1439,0.0786738,486.07,9.97222,498.107,
4-1-2016T11-44-34,7.86,21.8,12.0683,0.0776228,484.594,9.86387,499.484,
4-1-2016T11-44-39,7.866,21.8,11.7931,0.0752267,489.854,9.58713,501.365,
4-1-2016T11-44-44,7.91,21.808,11.8406,0.07477,491.784,9.56264,503.344,
4-1-2016T11-44-49,7.93,21.81,12.1365,0.0758243,489.06,9.73376,505.029,
4-1-2016T11-44-54,7.93,21.81,12.2136,0.0756164,487.436,9.73799,506.059,
4-1-2016T11-44-59,7.93,21.816,11.7428,0.072194,489.12,9.32013,506.944,
4-1-2016T11-45-04,7.944,21.82,11.5119,0.070285,488.746,9.09579,508.091,
4-1-2016T11-45-09,7.972,21.826,11.2218,0.0680272,487.538,8.82561,509.461,
4-1-2016T11-45-14,8.004,21.83,10.9046,0.0656144,489.76,8.53475,510.791,
4-1-2016T11-45-19,8.014,21.834,10.7476,0.0641739,489.892,8.3699,512.028,
4-1-2016T11-45-24,8.016,21.842,10.6703,0.0632903,486.95,8.2739,512.592,
4-1-2016T11-45-29,7.998,21.85,10.6092,0.0626482,491.09,8.2028,512.687,
4-1-2016T11-45-34,7.964,21.852,10.8544,0.0638765,484.28,8.37372,513.072,
4-1-2016T11-45-39,7.928,21.862,11.1743,0.0655531,483.184,8.60299,513.539,
4-1-2016T11-45-44,7.866,21.872,11.5173,0.0673802,480.206,8.85129,513.845,
4-1-2016T11-45-49,7.85,21.88,11.6005,0.0677471,480.606,8.90501,513.792,
4-1-2016T11-45-54,7.852,21.89,11.7142,0.0684196,482.262,8.993,513.063,
4-1-2016T11-45-59,7.868,21.89,11.8023,0.0691259,483.104,9.07702,511.752,
4-1-2016T11-46-04,7.896,21.898,12.036,0.0709028,482.692,9.29153,509.93,
4-1-2016T11-46-09,7.958,21.908,12.3104,0.0731413,480.668,9.55616,507.742,
4-1-2016T11-46-14,7.98,21.914,12.4415,0.0746399,480.032,9.71887,505.963,
4-1-2016T11-46-19,7.964,21.92,12.1532,0.0735689,479.756,9.54926,504.469,
4-1-2016T11-46-24,7.916,21.93,12.1055,0.0739932,480.824,9.57182,502.714,
4-1-2016T11-46-29,7.892,21.93,12.4422,0.0769276,476.822,9.9115,500.259,
4-1-2016T11-46-34,7.898,21.93,12.5517,0.0786799,480.118,10.0884,497.031,
4-1-2016T11-46-39,7.878,21.938,12.228,0.0778983,487.754,9.93167,493.416,
4-1-2016T11-46-44,7.87,21.94,11.78,0.076402,488.07,9.67969,489.98,
4-1-2016T11-46-49,7.87,21.944,11.5347,0.0762867,485.412,9.59902,486.655,
4-1-2016T11-46-54,7.872,21.95,11.369,0.0767671,485.232,9.58937,482.864,
4-1-2016T11-46-59,7.88,21.954,11.1043,0.0766821,485.894,9.50349,478.555,
4-1-2016T11-47-04,7.884,21.96,10.7961,0.0764656,486.126,9.39263,473.445,
4-1-2016T11-47-09,7.892,21.96,10.1975,0.0742426,484.97,9.03157,468.215,
4-1-2016T11-47-14,7.936,21.96,9.79092,0.0733705,480.958,8.83541,464.255,
4-1-2016T11-47-19,7.996,21.964,9.68617,0.0745137,480.728,8.89129,461.792,
4-1-2016T11-47-24,8.01,21.97,9.51452,0.0745241,480.012,8.83723,461.542,
4-1-2016T11-47-29,8.026,21.97,9.21282,0.0727257,479.738,8.60117,463.173,
4-1-2016T11-47-34,8.04,21.97,9.40971,0.0742069,479.402,8.77993,465.466,
4-1-2016T11-47-39,8.01,21.98,10.3557,0.081092,481.932,9.61863,467.576,
4-1-2016T11-47-44,7.958,21.98,10.7423,0.083438,483.252,9.92525,469.09,
4-1-2016T11-47-49,7.908,21.98,10.6272,0.0818804,481.952,9.76758,470.613,
4-1-2016T11-47-54,7.884,21.98,10.4422,0.0796336,477.34,9.53367,473.254,
4-1-2016T11-47-59,7.878,21.98,10.528,0.0791071,472.462,9.51969,476.538,
4-1-2016T11-48-04,7.876,21.988,11.1791,0.0825489,473.774,9.99444,479.102,
4-1-2016T11-48-09,7.9,21.99,12.0603,0.087715,472.174,10.6765,480.705,
4-1-2016T11-48-14,7.928,21.99,12.5513,0.0902747,471.706,11.0311,481.656,
4-1-2016T11-48-19,7.93,21.99,12.5974,0.0898919,480.338,11.015,482.326,
4-1-2016T11-48-24,7.93,21.994,12.4977,0.0886081,483.146,10.8823,483.118,
4-1-2016T11-48-29,7.938,22.0,12.4578,0.0877818,480.122,10.8043,484.071,
4-1-2016T11-48-34,7.908,22.0,12.1122,0.0848569,477.77,10.4654,485.003,
4-1-2016T11-48-39,7.876,22.0,11.7527,0.0818437,478.698,10.1151,486.098,
4-1-2016T11-48-44,7.834,22.0,11.7148,0.0810198,475.338,10.0374,487.378,
4-1-2016T11-48-49,7.824,22.0,11.7473,0.0806344,474.042,10.0161,488.82,
4-1-2016T11-48-54,7.826,22.0,11.7951,0.0802572,472.866,9.99974,490.682,
4-1-2016T11-48-59,7.89,22.006,11.7729,0.0792941,462.752,9.91495,492.768,
4-1-2016T11-49-04,7.96,22.01,11.8543,0.0790097,463.988,9.91566,494.221,
4-1-2016T11-49-09,7.998,22.01,11.7903,0.0779175,466.14,9.8078,495.037,
4-1-2016T11-49-14,7.98,22.01,11.7529,0.077134,466.192,9.73279,495.793,
4-1-2016T11-49-19,7.942,22.02,11.124,0.0725762,467.104,9.1767,496.868,
4-1-2016T11-49-24,7.922,22.02,10.8539,0.0703496,467.344,8.91569,497.905,
4-1-2016T11-49-29,7.932,22.02,11.3352,0.0730489,465.41,9.27643,497.959,
4-1-2016T11-49-34,7.972,22.022,11.7148,0.0755337,473.154,9.59032,495.729,
4-1-2016T11-49-39,7.99,22.03,12.7632,0.0831064,478.064,10.5154,491.857,
4-1-2016T11-49-44,7.972,22.03,13.1785,0.0871298,478.472,10.9655,487.812,
