Time,Hum,Temp,sootM,sootN,CO2,sootA,CMD,
4-1-2016T13-57-35,6.636,24.36,14.1264,0.0750651,450.422,10.1982,526.637,
4-1-2016T13-57-40,6.626,24.36,14.3676,0.0772034,452.958,10.4477,524.382,
4-1-2016T13-57-45,6.602,24.36,14.0722,0.076481,446.844,10.3088,522.023,
4-1-2016T13-57-50,6.59,24.36,13.8081,0.0759786,442.868,10.1968,519.688,
4-1-2016T13-57-55,6.622,24.36,13.4662,0.0750195,443.366,10.0245,517.536,
4-1-2016T13-58-00,6.696,24.36,12.5854,0.0708595,442.434,9.43357,516.23,
4-1-2016T13-58-05,6.768,24.368,12.3402,0.0701043,443.986,9.3039,515.736,
4-1-2016T13-58-10,6.818,24.37,12.196,0.0696892,445.842,9.23014,515.695,
4-1-2016T13-58-15,6.818,24.364,12.442,0.0713444,446.698,9.43791,515.768,
4-1-2016T13-58-20,6.77,24.36,13.0139,0.0747417,445.662,9.88196,516.095,
4-1-2016T13-58-25,6.706,24.36,13.057,0.0749315,443.452,9.90976,517.011,
4-1-2016T13-58-30,6.644,24.37,12.922,0.0738887,443.34,9.78425,518.554,
4-1-2016T13-58-35,6.602,24.362,13.0508,0.0741567,446.024,9.84137,520.245,
4-1-2016T13-58-40,6.63,24.362,13.8508,0.0781099,448.604,10.3934,521.464,
4-1-2016T13-58-45,6.65,24.37,13.9664,0.0783333,447.342,10.4431,521.813,
4-1-2016T13-58-50,6.682,24.37,13.3722,0.0747744,447.746,9.97921,521.67,
4-1-2016T13-58-55,6.726,24.38,13.3068,0.0743666,449.784,9.92678,520.78,
4-1-2016T13-59-00,6.77,24.38,13.2794,0.0744147,450.04,9.92381,519.324,
4-1-2016T13-59-05,6.824,24.38,13.2295,0.0745083,447.566,9.91883,517.915,
4-1-2016T13-59-10,6.894,24.38,12.5141,0.0708373,444.902,9.41337,517.102,
4-1-2016T13-59-15,7.046,24.388,12.1928,0.0693118,445.556,9.19702,516.904,
4-1-2016T13-59-20,7.32,24.392,13.4498,0.0767526,449.684,10.1706,516.325,
4-1-2016T13-59-25,7.356,24.4,13.9861,0.0802755,458.482,10.6159,514.156,
4-1-2016T13-59-30,7.342,24.4,13.2598,0.0767551,457.83,10.1202,511.744,
4-1-2016T13-59-35,7.272,24.412,12.8063,0.0748218,457.406,9.83318,510.554,
4-1-2016T13-59-40,7.222,24.42,13.0741,0.0770026,458.034,10.0914,509.859,
4-1-2016T13-59-45,7.256,24.43,11.8966,0.0704356,460.562,9.21389,508.876,
4-1-2016T13-59-50,7.284,24.438,6.92418,0.0409803,462.386,5.36146,507.889,
4-1-2016T13-59-55,7.282,24.44,7.27205,0.0434971,468.63,5.66965,506.97,
4-1-2016T14-00-00,7.212,24.44,9.39395,0.0567953,468.91,7.37528,505.303,
4-1-2016T14-00-05,7.118,24.45,10.2461,0.0626721,466.884,8.10529,501.863,
4-1-2016T14-00-10,7.564,24.45,10.3314,0.0642001,467.984,8.25687,497.776,
4-1-2016T14-00-15,8.236,24.452,9.62493,0.0608187,469.088,7.77607,494.002,
4-1-2016T14-00-20,8.78,24.46,9.75288,0.0628959,470.624,7.98431,491.434,
4-1-2016T14-00-25,8.438,24.46,9.95014,0.0651537,478.384,8.22706,490.707,
4-1-2016T14-00-30,8.106,24.47,9.88086,0.0652113,481.836,8.21195,491.301,
4-1-2016T14-00-35,7.73,24.47,9.80796,0.0649145,484.21,8.16667,491.994,
4-1-2016T14-00-40,7.368,24.47,10.0324,0.0664315,481.182,8.35628,492.358,
4-1-2016T14-00-45,7.068,24.47,10.4939,0.0694999,481.796,8.74181,492.209,
4-1-2016T14-00-50,6.882,24.476,11.181,0.0741186,482.212,9.31983,491.975,
4-1-2016T14-00-55,6.794,24.48,11.7475,0.0778344,483.214,9.78881,492.687,
4-1-2016T14-01-00,6.774,24.48,12.2329,0.0808076,476.954,10.1734,493.821,
4-1-2016T14-01-05,6.722,24.48,11.8096,0.0776971,472.8,9.79565,494.89,
4-1-2016T14-01-10,6.706,24.48,11.7823,0.0771436,474.18,9.7423,495.521,
4-1-2016T14-01-15,6.712,24.48,11.7717,0.0768782,474.842,9.71747,494.963,
4-1-2016T14-01-20,6.8,24.48,11.2871,0.0737525,474.634,9.32067,494.159,
4-1-2016T14-01-25,6.838,24.48,11.6978,0.0765821,474.44,9.67182,493.671,
4-1-2016T14-01-30,6.784,24.48,12.5716,0.0825429,476.48,10.414,492.856,
4-1-2016T14-01-35,6.702,24.48,12.5734,0.0828774,476.09,10.4419,491.766,
4-1-2016T14-01-40,6.664,24.48,11.739,0.0776972,478.382,9.7751,491.083,
4-1-2016T14-01-45,6.66,24.48,11.7626,0.0781698,477.31,9.82062,490.683,
4-1-2016T14-01-50,6.658,24.48,12.3403,0.0824432,478.63,10.3383,489.101,
4-1-2016T14-01-55,6.64,24.48,12.3696,0.0834347,473.48,10.4275,485.538,
4-1-2016T14-02-00,6.602,24.48,10.7757,0.073525,468.312,9.15183,482.796,
4-1-2016T14-02-05,6.668,24.48,11.7955,0.081672,464.824,10.1138,482.313,
4-1-2016T14-02-10,6.744,24.48,16.0692,0.112531,461.936,13.8803,481.526,
4-1-2016T14-02-15,6.738,24.48,16.3238,0.115063,466.894,14.1603,480.179,
4-1-2016T14-02-20,6.72,24.48,14.2789,0.101172,477.334,12.4283,479.404,
4-1-2016T14-02-25,6.728,24.48,12.3612,0.088011,476.662,10.7932,478.726,
4-1-2016T14-02-30,6.808,24.478,10.74,0.0767253,474.422,9.39819,479.193,
4-1-2016T14-02-35,6.88,24.47,10.1031,0.0721888,470.5,8.84198,480.467,
4-1-2016T14-02-40,6.906,24.47,10.456,0.0744221,470.072,9.12788,481.852,
4-1-2016T14-02-45,6.884,24.47,9.39587,0.0667365,470.858,8.19126,481.294,
4-1-2016T14-02-50,6.8,24.47,9.20676,0.065465,462.126,8.03213,480.148,
4-1-2016T14-02-55,6.696,24.47,10.1804,0.0728046,455.412,8.91472,478.175,
4-1-2016T14-03-00,6.654,24.47,11.2209,0.0810024,456.226,9.88589,475.948,
4-1-2016T14-03-05,6.72,24.47,12.1919,0.088845,453.85,10.8073,474.869,
4-1-2016T14-03-10,6.836,24.47,12.1552,0.0890888,453.738,10.8152,474.519,
4-1-2016T14-03-15,6.868,24.47,11.8381,0.0872067,451.37,10.5679,473.515,
4-1-2016T14-03-20,6.856,24.47,11.1717,0.0827194,451.234,10.0062,472.98,
4-1-2016T14-03-25,6.794,24.47,10.4021,0.0770447,451.398,9.3188,475.24,
4-1-2016T14-03-30,6.772,24.47,11.0352,0.0804245,451.774,9.78217,483.412,
4-1-2016T14-03-35,6.804,24.47,10.8963,0.0771141,450.646,9.47506,492.107,
4-1-2016T14-03-40,6.814,24.47,10.9626,0.0747535,447.86,9.30375,498.924,
4-1-2016T14-03-45,6.916,24.468,11.0258,0.0725722,446.332,9.14414,503.816,
4-1-2016T14-03-50,6.918,24.462,10.4297,0.0667559,445.638,8.49403,507.058,
4-1-2016T14-03-55,6.82,24.468,10.3488,0.0647386,447.046,8.30431,507.594,
4-1-2016T14-04-00,6.782,24.46,9.95981,0.0616165,453.168,7.93552,505.916,
4-1-2016T14-04-05,6.824,24.46,10.5708,0.065416,456.524,8.42484,502.241,
4-1-2016T14-04-10,6.894,24.46,10.9789,0.06859,456.88,8.8047,498.868,
4-1-2016T14-04-15,6.9,24.46,11.4771,0.0725023,456.46,9.27105,497.421,
4-1-2016T14-04-20,6.864,24.46,11.2401,0.0713923,458.108,9.11197,498.601,
4-1-2016T14-04-25,6.834,24.46,11.5546,0.0729397,462.396,9.32961,503.535,
4-1-2016T14-04-30,6.822333333333334,24.46,11.875016666666667,0.07413836666666666,460.141,9.519451666666667,507.35833333333335,
4-1-2016T14-04-31,6.82,24.46,11.9391,0.0743781,459.69,9.55742,508.123,
4-1-2016T14-04-32,6.896,24.46,12.1446,0.0746856,458.234,9.64018,511.143,
4-1-2016T14-04-37,7.116,24.46,12.1119,0.0728594,458.606,9.4769,515.542,
4-1-2016T14-04-42,7.452,24.46,12.0081,0.0707412,458.536,9.26874,518.06,
